time,side,qty,symbol,px,exchange,class,description,tags,local_time,source,orderID,exchangeOID,fillID,strategy,ilink,px_multiplier,multiplier,trader-owner,OC
20210113-12:26:31.698636,Buy,9,ESH1,378375,CME,,,N,20210113-12:26:31.698636,,82503001,6.4784E+11,46623,TRICYCLE,UTV2X3,46623,,Unknown-Unknown,
20210113-12:26:35.494761,Sell,4,ESH1,378375,CME,,,N,20210113-12:26:35.494761,,82503003,6.4784E+11,46636,TRICYCLE,UTV2X3,46636,,Unknown-Unknown,
20210113-12:26:35.495197,Sell,5,ESH1,378375,CME,,,N,20210113-12:26:35.495197,,82503004,6.4784E+11,46637,TRICYCLE,UTV2X3,46637,,Unknown-Unknown,
20210113-12:31:47.843977,Sell,23,ESH1,378050,CME,,,N,20210113-12:31:47.843977,,82503005,6.4784E+11,48280,TRICYCLE,UTV2X3,48280,,Unknown-Unknown,
20210113-12:31:52.190416,Buy,14,ESH1,377925,CME,,,N,20210113-12:31:52.190416,,82503006,6.4784E+11,48405,TRICYCLE,UTV2X3,48405,,Unknown-Unknown,
20210113-12:31:52.191420,Buy,3,ESH1,377925,CME,,,N,20210113-12:31:52.191420,,82503007,6.4784E+11,48407,TRICYCLE,UTV2X3,48407,,Unknown-Unknown,
20210113-12:31:52.191454,Buy,2,ESH1,377925,CME,,,N,20210113-12:31:52.191454,,82503007,6.4784E+11,48408,TRICYCLE,UTV2X3,48408,,Unknown-Unknown,
20210113-12:31:52.191498,Buy,1,ESH1,377925,CME,,,N,20210113-12:31:52.191498,,82503007,6.4784E+11,48409,TRICYCLE,UTV2X3,48409,,Unknown-Unknown,
20210113-12:31:52.191846,Buy,3,ESH1,377925,CME,,,N,20210113-12:31:52.191846,,82503009,6.4784E+11,48412,TRICYCLE,UTV2X3,48412,,Unknown-Unknown,
20210113-14:33:30.501482,Buy,50,ESH1,379400,CME,,,N,20210113-14:33:30.501482,,82503010,6.4784E+11,73531,TRICYCLE,UTV2X3,73531,,Unknown-Unknown,
20210113-14:33:43.257581,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.257581,,82503011,6.4784E+11,73895,TRICYCLE,UTV2X3,73895,,Unknown-Unknown,
20210113-14:33:43.348791,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.348791,,82503011,6.4784E+11,73896,TRICYCLE,UTV2X3,73896,,Unknown-Unknown,
20210113-14:33:43.414090,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.414090,,82503011,6.4784E+11,73897,TRICYCLE,UTV2X3,73897,,Unknown-Unknown,
20210113-14:33:43.681191,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.681191,,82503011,6.4784E+11,73898,TRICYCLE,UTV2X3,73898,,Unknown-Unknown,
20210113-14:33:43.703880,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.703880,,82503011,6.4784E+11,73899,TRICYCLE,UTV2X3,73899,,Unknown-Unknown,
20210113-14:33:43.851871,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.851871,,82503011,6.4784E+11,73900,TRICYCLE,UTV2X3,73900,,Unknown-Unknown,
20210113-14:33:43.865585,Sell,1,ESH1,379600,CME,,,N,20210113-14:33:43.865585,,82503011,6.4784E+11,73901,TRICYCLE,UTV2X3,73901,,Unknown-Unknown,
20210113-14:33:44.015109,Sell,6,ESH1,379575,CME,,,N,20210113-14:33:44.015109,,82503012,6.4784E+11,73914,TRICYCLE,UTV2X3,73914,,Unknown-Unknown,
20210113-14:33:44.015257,Sell,3,ESH1,379550,CME,,,N,20210113-14:33:44.015257,,82503013,6.4784E+11,73915,TRICYCLE,UTV2X3,73915,,Unknown-Unknown,
20210113-14:33:44.015704,Sell,34,ESH1,379550,CME,,,N,20210113-14:33:44.015704,,82503014,6.4784E+11,73917,TRICYCLE,UTV2X3,73917,,Unknown-Unknown,
20210113-14:37:13.573516,Buy,50,ESH1,379550,CME,,,N,20210113-14:37:13.573516,,82503015,6.4784E+11,77853,TRICYCLE,UTV2X3,77853,,Unknown-Unknown,
20210113-14:37:27.096224,Sell,45,ESH1,379600,CME,,,N,20210113-14:37:27.096224,,82503016,6.4784E+11,78082,TRICYCLE,UTV2X3,78082,,Unknown-Unknown,
20210113-14:37:27.102617,Sell,5,ESH1,379575,CME,,,N,20210113-14:37:27.102617,,82503018,6.4784E+11,78088,TRICYCLE,UTV2X3,78088,,Unknown-Unknown,
20210113-16:57:57.551018,Buy,80,ESH1,380050,CME,,,N,20210113-16:57:57.551018,,82503020,6.47841E+11,153564,TRICYCLE,UTV2X3,153564,,Unknown-Unknown,
20210113-16:58:22.196304,Sell,6,ESH1,380075,CME,,,N,20210113-16:58:22.196304,,82503021,6.47841E+11,153760,TRICYCLE,UTV2X3,153760,,Unknown-Unknown,
20210113-16:58:22.201703,Sell,14,ESH1,380075,CME,,,N,20210113-16:58:22.201703,,82503023,6.47841E+11,153776,TRICYCLE,UTV2X3,153776,,Unknown-Unknown,
20210113-16:58:22.201985,Sell,5,ESH1,380075,CME,,,N,20210113-16:58:22.201985,,82503023,6.47841E+11,153777,TRICYCLE,UTV2X3,153777,,Unknown-Unknown,
20210113-16:58:22.217209,Sell,19,ESH1,380050,CME,,,N,20210113-16:58:22.217209,,82503026,6.47841E+11,153781,TRICYCLE,UTV2X3,153781,,Unknown-Unknown,
20210113-16:58:22.217721,Sell,26,ESH1,380050,CME,,,N,20210113-16:58:22.217721,,82503027,6.47841E+11,153782,TRICYCLE,UTV2X3,153782,,Unknown-Unknown,
20210113-16:58:22.218687,Sell,3,ESH1,380050,CME,,,N,20210113-16:58:22.218687,,82503028,6.47841E+11,153788,TRICYCLE,UTV2X3,153788,,Unknown-Unknown,
20210113-16:58:23.202707,Sell,7,ESH1,380025,CME,,,N,20210113-16:58:23.202707,,82503029,6.47841E+11,153807,TRICYCLE,UTV2X3,153807,,Unknown-Unknown,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
